word	translation	cognate
δύναμαι, δυνήσομαι, δεδύνημαι, ἐδυνήθηv	be able.	DYNAMIC
δυνατός, δυνατή, δυνατόν	powerful.able.capable.	N/A
κέρδος, κέρδους, τό	gain.profit.pay.	N/A
στέλλω, στελῶ, ἔστειλα, ἔσταλκα, ἔσταλμαι, ἐστάλην	send.	APOSTOLIC
τοίνυν, post-pos. adv.	then.therefore.	N/A
βοῦς, βοός, ὁ or ἡ	ox.cow.	N/A
οὐκ-οῦν, adv.	therefore.	N/A
παίω, παίσω, ἔπαισα, πέπαικα	strike.	ANAPAEST
γοῦς, νοῦ, ὁ: mind ἐν νῷ ἔχω:intend τὸν νοῦν προσ-έχω	mind ἐν νῷ ἔχω:intend τὸν νοῦν προσ-έχω: attend.i.e.pay heed.	N/A
φημί, φήσω, ἔφησα	say.	N/A
ψευδής	false.	PSEUDONYM
ψεύδω, ψεύσω, ἔψευσα, ἔψευσμαι, ἐψεύσθην	deceive middle.lie.ltgt	N/A
ξύλον, ξύλου, τό	wood.	XYLOPHONE
τίθημι, θήσω, ἔθηκα, τέθηκα, τέθειμαι, ἐτέθην	put.place.Frequently in compounds.	ANTITHESIS
εἶδον,1 2d. aor.	saw.	N/A
τοιοῦτος, τοιαύτη, τοιοῦτο	of such sort.such size or quantity.	N/A
τυγχάνω happen, and words meaning to begin, cease, continue, rejoice	N/A	N/A
σπουδή	haste.zeal.Cf.σπεύδω.	N/A
κεῖμαι, κείσομαι	lie.he placed.Freq.instead of τέθειμαι.	N/A
στέφανος, στεφάνου, ὁ	crown.wreath.	STEPHEN
νέμω, νεμῶ, ἔνειμα, νενέμηκα, νενέμημαι, ἐνεμήθην	distribute.assign.	N/A
τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα	hit.attain.with G.happen.with suppl.part.	N/A
σπουδαῖος, σπουδαία, σπουδαῖον	earnest.zealous.serious.weighty.ltgt	N/A
δέδομαι, ἐδόθην	give.Cf.δῶρον.	DOSE
εὔ-νους, εὔ-νουν	well-intentioned.well-disposed.Cf.εὖ and νοῦς.	N/A
καί-περ, concessive particle usually accomp. by a participle	although.	N/A
μή-ποτε, neg. ady.	not never.never.	N/A
οὔ-ποτε, neg. adv.	not ever.never.	N/A
δίς, adv.	twice.Cf.δύο.	DISSYLLABIC
πλοῦς, πλοῦ, ὁ	sailing.voyage.Cf.πλέω.πλοῖον.ltgt	N/A
ΧΑΡ. ἔστι δέ τις ὀβολὸν (thrippence 1) μὴ ἔχων	N/A	N/A
μέχρι, conj.: until, while. Also  used as a prep. with G.	until.while.Also  used as a prep.with G.: up to.	N/A
τελευτάω, τελευτήσω, ἐτελεύτησα, τετελεύτηκα, τετελεύτημαι, ἐτελευτήθην	end.finish.die.	N/A
μηχανάομαι, μηχανήσομαι, ἐμηχανησάμην	contrive.	N/A
τῑμάω. τῑμήσω, ἐτίμησα, τετίμηκα, τετίμημαι, ἐτῑμήθην	honor.reward.	N/A
μηχανή, μηχανῆς, ἡ	contrivance.device.machine.Cf.Lat.machina.pay.Cf.ltgt	MECHANICAL
βίᾱ, βίᾱς, ἡ: force, violence. Cf. δύναμις	force.violence.Cf.δύναμις: force.power.	N/A
νῑκάω, νῑκήσω, ἐνίκησα, νενίκηκα,  νενίκημαι, ἐνῑκήθην	conquer.win.	N/A
δεδαπάνηκα, δεδαπάνημαι, ἐδαπανήθην	spend.waste.	N/A
νίκη, νίκης, ἡ	victory.	EUNICE
οἶδα, εἴσομαι	know.	N/A
αἰτιάομαι, αἰτιάσομαι, ἠτιάσάμην, ἠτῶμαι, ἠτιάθην	blame.accuse.find fault.Cf.αἴτιος.	N/A
εἶμι, only pres., but freq. with fut. significance	go.	N/A
μάντις, τεως, ὁ	seer.soothsayer.prophet.	MANTIC
πειράομαι, πειράσομαι, ἐπειρᾱσάμην, πεπείραμαι, ἐπειράθην	try.	PIRATE
τάξις, τάξεως, ἡ	order.arrangement.position.division.Cf.τάττω.	TAXIDERMIST
χράομαι, χρήσομαι, ἐχρησάμην, κέχρημαι, ἐχρήσθην	use.with D.Cf.χρῆμα.ltgt	N/A
δουλεύω, δουλεύσω, ἐδούλευσα	be a slave (δοῦλος).serve.	N/A
πίνω, πίομαι, ἔπιον, πέπωκα, -πέπομαι, -επόθην	drink.Cf.Lat.bibο.	N/A
θνητός, θντητή, θνητόν	mortal.human.Cf.ἀπο-θνῄσκω.	N/A
τέχνη, τέχνης, ἡ	art.skill.craft.	TECHNIQUE
λιμήν, λιμένος, ὁ	haven.harbor.	N/A
τύχη, τύχης, ἡ	chance.lot.fate.Cf.τυ(γ)χάνωltgt	N/A
Κύπριν 6 βροτοῖσιν	εὐ-μενὴς (kindly-minded) γὰρ ἡ θεός.	N/A
δείκνυμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην	show.point out.	PARADIGM
ζεύγνῦμι, ζεύξω, ἔζευξα, ἔζευγμαι, ἐζεύχθην	i yoke.bind.unite.	N/A
νεκρός, νεκροῦ, ὁ	corpse.	NECROSIS
βλέπω, βλέψω, ἔβλεψα	look.face.point.	N/A
ζάω, ζήσω: live τὸ ζῶον	live τὸ ζῶον: living thing.	ZOOLOGY
γυμνός, γυμνή, γυμνόν	bare.naked.lightly-clad.	GYMNAST
πονέω, πονήσω. ἐπόνησα, πεπόνηκα, πεπόνημαι, ἐπονήθην	toil.struggle.Cf.πόνος.	N/A
δια-γιγνώσκω	distinguish.decide  between.	DIAGNOSIS
σχολή	leisure.free time for anything.ltgt	SCHOLAR
δηλόω, δηλώσω, ἐδήλωσα, δεδήλωκα, δεδήλωμαι, ἐδηλώθην	make plain.show.Cf.δῆλος.	N/A
κτάομαι, κτήσομαι, ἐκτησάμην, κέκτημαι, ἐκτήθην	gain.get possession of.	N/A
τετρώσκω, τρώσω, ἔτρωσα, τέτρωμαι, ἐτρώθην	wound.	TRAUMA
θώρᾱξ, θώρᾱκος, ὁ	breastplate.corselet.cuirass.	THORAX
λανθάνω, λησω, ἔλαθον, λέληθα, λέλησμαι	escape notice.elude do secretly.with suppl.part.Usually with suppl.part.	LETHE
πεζός	infantryman	N/A
φθάνω, φθήσομαι, ἔφθασα or ἔφθην	outstrip.beat.anticipate.	N/A
θώρακα ἔχων τὸν ἱππικόν	ὥστε ἐπιέζετο (was burdened).	N/A
βασίλειος: royal τὰ βασίλεια	royal τὰ βασίλεια: palace.	BASILICA
κύκλος	circle.	CYCLE
πελταστής	peltast.a light-armed soldier.	N/A
λόγχη	spear point.spear.	N/A
λόφος	hill.crest.plume.	N/A
θόρυβος	noise.din.outcry.	N/A
κάω 2 (καίω), καύσω, ἔκαυσα, κέκαυκα, κέκαυμαι, ἐκαύθην	burn.	CAUSTIC
πολιορκέω, πολιορκήσω, ἐπολιόρλιόρκημαι, ἐπολιορκήθην	siege.Cf.πόλις.	N/A
τῑμωρέω, τῑμωρήσω, ἐτῑμώρησα, τετῑμώρηκα, τετῑμώρημαι, ἐτῑμωρήθην	avenge  mid..punish.With D.of person avenged.of person punished.	N/A
βλάπτω, βλάψω, ἔβλαψα, βλαφα, βέβλαμμαι, ἐβλάφθην, ἐβλάβην	harm.hinder.	N/A
πλέθρον, -ου. τό	plethron (100 ft.)	N/A
σημαίνω, σημανῶ, ἐσήμηνα, σεσήμασμαι, ἐσημάνθην	give a signal.signify.betoken.	SEMANTIC
βασιλεία	kingdom.1 Cf.βασίλειος	N/A
κοινός	common.	N/A
νόμος, νόμου, ὁ	usage.law.Cf.νομίζω.	DEUTERONOMY
οἵομαι, οἴησομαι, ᾠήθην	think.suppose.	N/A
